"INDICATOR","HFAMDB_389"

"HFAMDB_389","Infectious and parasitic diseases, number of deaths, by sex"

"UNIT_TYPE","Unit"
"NUM_DTH","number of deaths"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"ALB","","TOTAL","FEMALE","1987","163"
"ALB","","TOTAL","FEMALE","1988","121"
"ALB","","TOTAL","FEMALE","1989","221"
"ALB","","TOTAL","FEMALE","1992","110"
"ALB","","TOTAL","FEMALE","1993","135"
"ALB","","TOTAL","FEMALE","1994","121"
"ALB","","TOTAL","FEMALE","1995","59"
"ALB","","TOTAL","FEMALE","1996","64"
"ALB","","TOTAL","FEMALE","1997","47"
"ALB","","TOTAL","FEMALE","1998","46"
"ALB","","TOTAL","FEMALE","1999","43"
"ALB","","TOTAL","FEMALE","2000","32"
"ALB","","TOTAL","FEMALE","2001","40"
"ALB","","TOTAL","FEMALE","2002","40"
"ALB","","TOTAL","FEMALE","2003","42"
"ALB","","TOTAL","FEMALE","2004","37"
"ALB","","TOTAL","FEMALE","2005","42"
"ALB","","TOTAL","FEMALE","2006","33"
"ALB","","TOTAL","FEMALE","2007","21"
"ALB","","TOTAL","FEMALE","2008","20"
"ALB","","TOTAL","FEMALE","2009","10"
"AND","","TOTAL","FEMALE","2011","0"
"AND","","TOTAL","FEMALE","2012","3"
"AND","","TOTAL","FEMALE","2013","1"
"AND","","TOTAL","FEMALE","2014","2"
"AND","","TOTAL","FEMALE","2015","4"
"ARM","","TOTAL","FEMALE","1981","172"
"ARM","","TOTAL","FEMALE","1982","183"
"ARM","","TOTAL","FEMALE","1985","217"
"ARM","","TOTAL","FEMALE","1986","201"
"ARM","","TOTAL","FEMALE","1987","229"
"ARM","","TOTAL","FEMALE","1988","182"
"ARM","","TOTAL","FEMALE","1989","170"
"ARM","","TOTAL","FEMALE","1990","171"
"ARM","","TOTAL","FEMALE","1991","164"
"ARM","","TOTAL","FEMALE","1992","201"
"ARM","","TOTAL","FEMALE","1993","163"
"ARM","","TOTAL","FEMALE","1994","121"
"ARM","","TOTAL","FEMALE","1995","120"
"ARM","","TOTAL","FEMALE","1996","99"
"ARM","","TOTAL","FEMALE","1997","119"
"ARM","","TOTAL","FEMALE","1998","83"
"ARM","","TOTAL","FEMALE","1999","89"
"ARM","","TOTAL","FEMALE","2000","72"
"ARM","","TOTAL","FEMALE","2001","52"
"ARM","","TOTAL","FEMALE","2002","52"
"ARM","","TOTAL","FEMALE","2003","48"
"ARM","","TOTAL","FEMALE","2006","62"
"ARM","","TOTAL","FEMALE","2007","49"
"ARM","","TOTAL","FEMALE","2008","56"
"ARM","","TOTAL","FEMALE","2009","64"
"ARM","","TOTAL","FEMALE","2010","74"
"ARM","","TOTAL","FEMALE","2011","61"
"ARM","","TOTAL","FEMALE","2012","56"
"ARM","","TOTAL","FEMALE","2013","74"
"ARM","","TOTAL","FEMALE","2014","79"
"ARM","","TOTAL","FEMALE","2015","85"
"ARM","","TOTAL","FEMALE","2016","66"
"AUT","","TOTAL","FEMALE","1969","447"
"AUT","","TOTAL","FEMALE","1970","429"
"AUT","","TOTAL","FEMALE","1971","391"
"AUT","","TOTAL","FEMALE","1972","334"
"AUT","","TOTAL","FEMALE","1973","307"
"AUT","","TOTAL","FEMALE","1974","255"
"AUT","","TOTAL","FEMALE","1975","251"
"AUT","","TOTAL","FEMALE","1976","286"
"AUT","","TOTAL","FEMALE","1977","214"
"AUT","","TOTAL","FEMALE","1978","188"
"AUT","","TOTAL","FEMALE","1979","227"
"AUT","","TOTAL","FEMALE","1980","237"
"AUT","","TOTAL","FEMALE","1981","181"
"AUT","","TOTAL","FEMALE","1982","170"
"AUT","","TOTAL","FEMALE","1983","177"
"AUT","","TOTAL","FEMALE","1984","132"
"AUT","","TOTAL","FEMALE","1985","132"
"AUT","","TOTAL","FEMALE","1986","145"
"AUT","","TOTAL","FEMALE","1987","111"
"AUT","","TOTAL","FEMALE","1988","134"
"AUT","","TOTAL","FEMALE","1989","141"
"AUT","","TOTAL","FEMALE","1990","134"
"AUT","","TOTAL","FEMALE","1991","91"
"AUT","","TOTAL","FEMALE","1992","95"
"AUT","","TOTAL","FEMALE","1993","95"
"AUT","","TOTAL","FEMALE","1994","99"
"AUT","","TOTAL","FEMALE","1995","68"
"AUT","","TOTAL","FEMALE","1996","74"
"AUT","","TOTAL","FEMALE","1997","84"
"AUT","","TOTAL","FEMALE","1998","129"
"AUT","","TOTAL","FEMALE","1999","141"
"AUT","","TOTAL","FEMALE","2000","140"
"AUT","","TOTAL","FEMALE","2001","139"
"AUT","","TOTAL","FEMALE","2002","223"
"AUT","","TOTAL","FEMALE","2003","287"
"AUT","","TOTAL","FEMALE","2004","274"
"AUT","","TOTAL","FEMALE","2005","292"
"AUT","","TOTAL","FEMALE","2006","283"
"AUT","","TOTAL","FEMALE","2007","291"
"AUT","","TOTAL","FEMALE","2008","339"
"AUT","","TOTAL","FEMALE","2009","341"
"AUT","","TOTAL","FEMALE","2010","348"
"AUT","","TOTAL","FEMALE","2011","356"
"AUT","","TOTAL","FEMALE","2012","335"
"AUT","","TOTAL","FEMALE","2013","370"
"AUT","","TOTAL","FEMALE","2014","348"
"AUT","","TOTAL","FEMALE","2015","430"
"AUT","","TOTAL","FEMALE","2016","469"
"AUT","","TOTAL","FEMALE","2017","490"
"AZE","","TOTAL","FEMALE","1981","980"
"AZE","","TOTAL","FEMALE","1982","865"
"AZE","","TOTAL","FEMALE","1985","916"
"AZE","","TOTAL","FEMALE","1986","909"
"AZE","","TOTAL","FEMALE","1987","834"
"AZE","","TOTAL","FEMALE","1988","673"
"AZE","","TOTAL","FEMALE","1989","797"
"AZE","","TOTAL","FEMALE","1990","726"
"AZE","","TOTAL","FEMALE","1991","576"
"AZE","","TOTAL","FEMALE","1992","586"
"AZE","","TOTAL","FEMALE","1993","659"
"AZE","","TOTAL","FEMALE","1994","742"
"AZE","","TOTAL","FEMALE","1995","742"
"AZE","","TOTAL","FEMALE","1996","592"
"AZE","","TOTAL","FEMALE","1997","548"
"AZE","","TOTAL","FEMALE","1998","517"
"AZE","","TOTAL","FEMALE","1999","518"
"AZE","","TOTAL","FEMALE","2000","443"
"AZE","","TOTAL","FEMALE","2001","463"
"AZE","","TOTAL","FEMALE","2002","363"
"AZE","","TOTAL","FEMALE","2003","372"
"AZE","","TOTAL","FEMALE","2004","283"
"AZE","","TOTAL","FEMALE","2007","110"
"BEL","","TOTAL","FEMALE","1968","383"
"BEL","","TOTAL","FEMALE","1969","400"
"BEL","","TOTAL","FEMALE","1970","463"
"BEL","","TOTAL","FEMALE","1971","399"
"BEL","","TOTAL","FEMALE","1972","406"
"BEL","","TOTAL","FEMALE","1973","377"
"BEL","","TOTAL","FEMALE","1974","341"
"BEL","","TOTAL","FEMALE","1975","344"
"BEL","","TOTAL","FEMALE","1976","396"
"BEL","","TOTAL","FEMALE","1977","381"
"BEL","","TOTAL","FEMALE","1978","368"
"BEL","","TOTAL","FEMALE","1979","300"
"BEL","","TOTAL","FEMALE","1980","331"
"BEL","","TOTAL","FEMALE","1981","369"
"BEL","","TOTAL","FEMALE","1982","411"
"BEL","","TOTAL","FEMALE","1983","459"
"BEL","","TOTAL","FEMALE","1984","363"
"BEL","","TOTAL","FEMALE","1985","382"
"BEL","","TOTAL","FEMALE","1986","415"
"BEL","","TOTAL","FEMALE","1987","425"
"BEL","","TOTAL","FEMALE","1988","431"
"BEL","","TOTAL","FEMALE","1989","547"
"BEL","","TOTAL","FEMALE","1990","592"
"BEL","","TOTAL","FEMALE","1991","533"
"BEL","","TOTAL","FEMALE","1992","585"
"BEL","","TOTAL","FEMALE","1993","672"
"BEL","","TOTAL","FEMALE","1994","667"
"BEL","","TOTAL","FEMALE","1995","735"
"BEL","","TOTAL","FEMALE","1996","712"
"BEL","","TOTAL","FEMALE","1997","776"
"BEL","","TOTAL","FEMALE","1998","759"
"BEL","","TOTAL","FEMALE","1999","853"
"BEL","","TOTAL","FEMALE","2000","1107"
"BEL","","TOTAL","FEMALE","2001","1240"
"BEL","","TOTAL","FEMALE","2002","1316"
"BEL","","TOTAL","FEMALE","2003","1527"
"BEL","","TOTAL","FEMALE","2004","1469"
"BEL","","TOTAL","FEMALE","2005","1399"
"BEL","","TOTAL","FEMALE","2006","1288"
"BEL","","TOTAL","FEMALE","2007","1224"
"BEL","","TOTAL","FEMALE","2008","1277"
"BEL","","TOTAL","FEMALE","2009","1402"
"BEL","","TOTAL","FEMALE","2010","1427"
